Dataset,Target,Condition,Run,Model,RMSE,PICP80_%,n_windows
anomaly_free,Accelerometer1RMS,CBM 200,0,Chronos-2,0.0018403650779081366,75.25114155251141,73
anomaly_free,Accelerometer1RMS,CBM 200,0,TimesFM-2.5,0.0018487829073618098,79.15525114155251,73
anomaly_free,Accelerometer1RMS,CBM 200,0,TiRex,0.0018697060875060405,80.22831050228311,73
anomaly_free,Accelerometer1RMS,CBM 200,1,Chronos-2,0.0018184215128294885,75.20547945205479,73
anomaly_free,Accelerometer1RMS,CBM 200,1,TimesFM-2.5,0.0018236662472814835,81.52968036529681,73
anomaly_free,Accelerometer1RMS,CBM 200,1,TiRex,0.0018709745579200037,79.84018264840182,73
anomaly_free,Accelerometer1RMS,CBM 200,2,Chronos-2,0.0018865645258559528,76.02739726027397,73
anomaly_free,Accelerometer1RMS,CBM 200,2,TimesFM-2.5,0.0018881947379929792,81.7579908675799,73
anomaly_free,Accelerometer1RMS,CBM 200,2,TiRex,0.0018699829778484277,80.47945205479452,73
anomaly_free,Accelerometer1RMS,CBM 200,3,Chronos-2,0.0018577690279046068,74.20091324200914,73
anomaly_free,Accelerometer1RMS,CBM 200,3,TimesFM-2.5,0.0019044278930238417,80.6164383561644,73
anomaly_free,Accelerometer1RMS,CBM 200,3,TiRex,0.001881626389951409,79.86301369863014,73
anomaly_free,Accelerometer1RMS,CBM 200,4,Chronos-2,0.0018217083066702344,75.52511415525115,73
anomaly_free,Accelerometer1RMS,CBM 200,4,TimesFM-2.5,0.0018247522388429637,81.68949771689498,73
anomaly_free,Accelerometer1RMS,CBM 200,4,TiRex,0.0018549467492903677,79.95433789954338,73
anomaly_free,Accelerometer1RMS,CBM 200,5,Chronos-2,0.0018586557428917384,75.0,73
anomaly_free,Accelerometer1RMS,CBM 200,5,TimesFM-2.5,0.0018421241002387735,82.05479452054794,73
anomaly_free,Accelerometer1RMS,CBM 200,5,TiRex,0.0018500431836855138,79.1095890410959,73
anomaly_free,Accelerometer1RMS,CBM 200,6,Chronos-2,0.0018062833182977795,75.47945205479452,73
anomaly_free,Accelerometer1RMS,CBM 200,6,TimesFM-2.5,0.0018291835549310502,81.87214611872146,73
anomaly_free,Accelerometer1RMS,CBM 200,6,TiRex,0.0018470343527851939,79.95433789954338,73
anomaly_free,Accelerometer1RMS,CBM 200,7,Chronos-2,0.001849967511743094,75.31963470319634,73
anomaly_free,Accelerometer1RMS,CBM 200,7,TimesFM-2.5,0.0018565427008434942,81.23287671232877,73
anomaly_free,Accelerometer1RMS,CBM 200,7,TiRex,0.0018486200918173049,80.57077625570777,73
anomaly_free,Accelerometer1RMS,CBM 200,8,Chronos-2,0.0018794005849814986,76.0958904109589,73
anomaly_free,Accelerometer1RMS,CBM 200,8,TimesFM-2.5,0.0018806353587414674,81.78082191780823,73
anomaly_free,Accelerometer1RMS,CBM 200,8,TiRex,0.0019077810940562002,79.17808219178082,73
anomaly_free,Accelerometer1RMS,CBM 200,9,Chronos-2,0.0018763564431342461,76.27853881278538,73
anomaly_free,Accelerometer1RMS,CBM 200,9,TimesFM-2.5,0.0018459244210076425,82.3744292237443,73
anomaly_free,Accelerometer1RMS,CBM 200,9,TiRex,0.0018793160297229993,79.9771689497717,73
anomaly_free,Accelerometer1RMS,CBM 400,0,Chronos-2,0.00197428808519023,76.07305936073058,73
anomaly_free,Accelerometer1RMS,CBM 400,0,TimesFM-2.5,0.001958283096588712,81.80365296803653,73
anomaly_free,Accelerometer1RMS,CBM 400,0,TiRex,0.0019653117905808013,79.72602739726027,73
anomaly_free,Accelerometer1RMS,CBM 400,1,Chronos-2,0.0018839389220902617,75.50228310502283,73
anomaly_free,Accelerometer1RMS,CBM 400,1,TimesFM-2.5,0.0019089705868036752,81.91780821917808,73
anomaly_free,Accelerometer1RMS,CBM 400,1,TiRex,0.0019105155617088734,81.21004566210046,73
anomaly_free,Accelerometer1RMS,CBM 400,2,Chronos-2,0.0018735725463637993,76.66666666666667,73
anomaly_free,Accelerometer1RMS,CBM 400,2,TimesFM-2.5,0.0018630577976690781,83.0365296803653,73
anomaly_free,Accelerometer1RMS,CBM 400,2,TiRex,0.0019019256739811012,79.84018264840182,73
anomaly_free,Accelerometer1RMS,CBM 400,3,Chronos-2,0.0019536935062338437,77.26027397260275,73
anomaly_free,Accelerometer1RMS,CBM 400,3,TimesFM-2.5,0.0018638648149363667,82.99086757990868,73
